"","mdate","Mkt_Europe","Mkt_Global","Mkt_US","HML_Europe","HML_Global","HML_US","BAB_Europe","BAB_Global","BAB_US","SMB_Europe","SMB_Global","SMB_US","UMD_Europe","UMD_Global","UMD_US","RF","D.Recession","P.Recession"
"268",Apr 2012,-0.0238802143204473,-0.0101239290381697,-0.00674939543231168,-0.0435978540975461,-0.0226044429379125,-0.0157693935237274,0.035036202395534,0.0319059734016951,0.028937929615514,0.0056807578269024,-0.00051696226632984,-0.00571710000762643,0.0670438284935678,0.0429283034656801,0.0326282482147622,0,0,0.1
"269",May 2012,-0.122733334724137,-0.0896588280413462,-0.0664118617025519,-0.0368566239329767,-0.0190205749199519,-0.0133491897194796,0.00310323435717419,0.0183820705382209,0.0234993768963042,-0.00531616614841381,-0.000811954941144,-0.00262683348815346,0.065521550300963,0.0636511083321812,0.0673039007850478,0.01,0,0
"270",Jun 2012,0.0711644849263949,0.0468643375171681,0.0380846287533995,0.0117303223568001,0.00704935170320543,0.00429866963376167,-0.00309115038758919,0.00642102655902814,0.0107926970107419,-0.0437198972578104,-0.0129888198771213,0.00635376221135828,-0.00608662018116803,0.00166357745250427,-0.00578529985503992,0,0,0.1
"271",Jul 2012,0.00392744658503777,0.00913560655143065,0.00985612196358673,-0.0179044922525038,-0.0118814856046798,-0.00655830545866269,-0.0234467651988145,0.0105617712760015,0.0104329541583045,-0.0245276785374095,-0.0141790201441191,-0.0196385213569455,0.0261642568842769,0.034310747973147,0.0315818879443733,0,0,0.3
"272",Aug 2012,0.0461366758953835,0.0263141745416935,0.0270412601997494,0.00958620292765196,0.00460729874109366,0.0121835592036642,0.00211913790883757,-0.000760224929126247,-0.00866167297352011,-0.00158659869272865,0.00581995246408192,0.00666346870049612,-0.0312417800080293,-0.0206581420041745,-0.0273661523536468,0.01,0,0.2
"273",Sep 2012,0.033788737181438,0.0314430094770684,0.0264890082633025,0.00737794813910978,0.00757101055395343,0.012490385063591,0.00783247079870317,0.00845711293527353,0.00773653031221651,0.01505705798354,0.00636379399134147,0.00570557473343071,-0.016665848577324,-0.0158602908153594,-0.0180291210710487,0.01,0,0
"274",Oct 2012,0.0154671935525763,-0.00240835010698709,-0.0147151565429343,-0.0050436032192893,0.016937066132398,0.0323432962208692,0.0204427643524609,0.0125433823180265,0.0200514406733544,-0.00451557197803979,-0.00705765003720544,-0.0113286761264257,0.0170797666864901,0.00838851706344781,0.0047538474283743,0.01,0,0
"275",Nov 2012,0.024226996626741,0.0126344528447619,0.0059196329871419,-0.0225460608517712,-0.0115010759649128,-0.00939380905666209,0.0131341667248834,-0.00185761602109778,-0.0133973194281568,-0.0246376554591739,-0.00876693176144876,0.00440472818657137,0.0290086037147938,0.0167592143542958,0.00423214382978475,0.01,0,0
"276",Dec 2012,0.0298316730266815,0.0221916701040649,0.012299245321562,0.0342427822572781,0.0337574641565129,0.028455723115165,-0.00836009278015054,-0.0102231473900891,-0.0105303506770734,0.0125559944284732,0.00862479681459,0.0168854793978099,-0.00459519872561748,-0.0157168518572687,-0.0205988980017476,0.01,0,0.1
"277",Jan 2013,0.0610784454259378,0.0530196793225338,0.0555894872160157,0.0224542085076322,0.0122552926528718,0.0115189894609826,-0.000910108649328193,0.0204152458283348,0.0438705798928535,0.0134455177774912,0.0110264084997024,0.00623247977645768,-0.0124727108353481,0.00028753959761163,-0.00960348913381819,0,0,0.1
"278",Feb 2013,-0.0236716715165181,-0.000506762454724083,0.00938079274258996,-0.0256126857960038,-0.00911531911207268,-0.000963302443378414,0.000890476507306058,0.0162389063684071,0.0188606109478594,0.0107046077638874,-0.00099666158093666,-0.00154299226282755,0.0531864023103564,0.0338567885427621,0.0205682504414271,0,0,0
"279",Mar 2013,-0.00645473596095556,0.0198757543827206,0.036858517971608,-0.0214593089361279,-0.016942875335199,-0.00258096134145572,0.0282253592255838,0.0268186802577869,0.0234224407467308,-0.0220228317464374,-0.00111180274159775,0.00767359905238066,0.0452432830051548,0.0379967173178038,0.0186054181239245,0,0,0.1
"280",Apr 2013,0.0441676754886292,0.0295845992003369,0.0152563639646559,0.000931366608558649,-0.0080963875495609,-0.00161081520292066,0.0199826292929134,0.0126392498778621,0.0166992978892173,-0.026416414992685,-0.0226005145766235,-0.0202097078126901,0.0238986677567955,0.030508963762882,0.0105237864542227,0,0,0.2
"281",May 2013,0.00312311645192612,-0.000225892786134582,0.0213405180763447,0.0126394273945206,0.0100817064257138,0.0128717536173088,-0.0219914118051419,-0.0163619847076147,-0.0149457615546237,0.0066333422292528,0.0113034206889807,0.023126960297586,0.0117893773863634,-0.00704710595461652,-0.0123482894516725,0,0,0.1
"282",Jun 2013,-0.0464949197048033,-0.0270106235471948,-0.0140093594078956,-0.0347506693629352,-0.0112860646478909,0.000584173502693797,0.0326367286198359,0.0230220151948103,0.0206891882402237,0.020124928483596,0.00632758291750515,0.0118631466525594,0.0294330725412299,0.0157887469097569,0.00647499581659544,0,0,0.1
"283",Jul 2013,0.0748342532521353,0.053034198052797,0.0543136125537857,0.0137004141427991,0.00873953779765604,0.00666062429574929,0.00361566680038757,0.0106424229550464,0.0180528550963136,-0.0167261616364527,0.0066266739568688,0.0149154225098333,0.0307525493290428,0.0157464802352421,0.0139052635242429,0,0,0.1
"284",Aug 2013,-0.0076638948399503,-0.0167617791971504,-0.026102768920547,0.0245681567917178,0.00666307876675486,-0.00899700643271161,0.0184703657617984,0.00712012153617618,-0.00385436925079025,0.0430221486841683,0.0125277055084759,-0.00168077672479878,-0.0307477269191291,-0.0160147142495387,-0.00428966084626506,0,0,0.1
"285",Sep 2013,0.0742345852982371,0.0550383493704727,0.0377389401459714,0.0217358252311633,-0.00384814676306607,-0.0139895858160651,0.0117366358996832,0.0117447158333853,0.00769372995363961,0.000508861690998418,0.0131214376764449,0.0254032897982997,0.0166628361493004,0.0326977056666689,0.0312047430622905,0,0,0
"286",Oct 2013,0.0459571885393394,0.0364644250022281,0.0407446998410117,0.011291243861967,0.00595648008566219,0.00724441052813053,0.00552256033614327,0.0216222240699082,0.0288263372436348,0.00648769273367212,-0.00473182273588776,-0.015588468883992,0.026789290517548,0.0140536489452387,0.00804223624165764,0,0,0
"287",Nov 2013,0.0140005244056217,0.0167000708206585,0.0265133657190391,-0.0107285510368307,-0.00959496013545182,-0.0051847032427057,0.0307659710031935,0.0175930738820455,0.0194992055100617,0.00952651893193655,0.00593961601498814,0.0106548341481526,0.0314301927580525,0.0260415645614064,0.0183927296125431,0,0,0.1
"288",Dec 2013,0.0221452847741882,0.0197123204075214,0.0269901139171662,-0.00714161401574773,-0.00723073810440149,-0.00509275330008364,0.0211642450946902,0.00708288975046648,0.00285809135338282,0.00101564807192713,0.000342909740978601,-0.00101668425449213,0.0217454503169491,0.0178433400401815,0.0115231056116141,0,0,0.1
"289",Jan 2014,-0.0300221239828575,-0.0320140519153491,-0.0302884423199076,0.0119740552897933,-0.00163685605425036,-0.00901427005434114,0.0103557951040237,0.0231933481540465,0.0205756073702818,0.0489980886948778,0.027816146851666,0.00742878782820251,0.0260137382976961,0.00879808442385895,0.00733392975815534,0,0,0.1
"290",Feb 2014,0.0740569362254248,0.0490726923009832,0.0468195105727505,0.00937844329124191,-0.00275215717091405,-0.00949653815572097,0.0141284966722552,0.009689109431465,-0.00190706992902974,-0.0112514303539192,-0.00589601765406818,0.0018911095129556,0.00901382320418777,0.00751027241911577,0.0132745580177561,0,0,0
"291",Mar 2014,-0.0061446570358403,0.00019562262678956,0.00422689544043176,0.0122905123844613,0.0207093647384273,0.0344158162896669,0.0305914111497334,0.0233589501345856,0.015793424008099,-0.000425207784289909,-0.00345665769064525,-0.00753737732207675,-0.00885917274112858,-0.0149366500009824,-0.0197328343673981,0,0,0
